city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
135,batemans bay,0,58,-35.71,55.99,4.0
136,kemin,0,31,42.79,80.06,9.28
137,aksu,0,28,52.04,80.6,11.18
138,katsuura,75,88,33.93,77.0,8.05
139,grenville,90,82,45.62,71.6,5.82
140,tiarei,20,69,-17.53,78.8,13.87
141,sungaipenuh,10,86,-2.08,82.22,3.33
142,los llanos de aridane,75,73,28.66,73.4,10.29
143,acapulco,75,83,16.86,78.8,5.82
144,bambous virieux,20,61,-20.34,78.8,9.17
145,coahuayana,100,96,18.62,69.08,1.54
146,agua verde,75,88,22.89,84.99,2.68
147,arcachon,0,50,44.65,86.0,6.93
148,homer,1,87,59.64,55.99,16.51
149,avarua,94,94,-21.21,68.0,1.12
150,khrebtovaya,61,44,56.71,83.12,14.58
151,pyapon,100,66,16.29,87.98,13.82
152,honiara,40,88,-9.43,78.8,23.2
153,zhangye,96,21,38.94,77.0,8.7
154,nchelenge,0,35,-9.35,76.82,4.36
155,alice springs,1,29,-23.7,60.8,6.93
156,san carlos de bariloche,40,92,-41.13,30.2,5.61
157,noumea,0,82,-22.28,66.2,17.76
158,palmas,0,73,-10.18,69.8,3.36
159,airai,18,63,-8.93,76.28,1.9
160,posevnaya,0,51,54.3,72.14,8.25
161,minot,1,82,48.23,64.0,3.36
162,margate,40,66,-43.03,48.2,9.17
163,orizatlan,3,94,21.18,63.68,3.33
164,camacupa,0,19,-12.02,73.22,7.67
165,aswan,0,14,24.09,102.2,3.36
166,hermanus,0,90,-34.42,61.0,7.0
167,the valley,20,74,18.22,81.0,13.87
168,nsanje,0,40,-16.92,76.28,7.16
169,portland,40,82,43.66,62.6,3.36
170,majene,100,73,-3.54,82.22,11.97
171,santa marta,9,82,11.24,80.06,34.38
172,thunder bay,5,71,48.41,55.99,5.82
173,havre-saint-pierre,20,93,50.23,42.8,2.24
174,morbach,0,40,49.52,72.0,4.7
175,alyangula,37,78,-13.85,75.2,3.36
176,bati,19,36,11.19,82.76,5.37
177,basar,90,94,27.98,80.6,3.36
178,aklavik,90,87,68.22,42.8,6.93
179,kamenka,10,68,48.03,62.01,3.0
180,gat,0,74,14.69,78.8,10.29
181,gao,19,32,16.28,93.2,10.18
182,karasburg,0,9,-28.01,78.44,19.17
183,sanary-sur-mer,0,66,43.12,87.01,10.29
184,astoria,90,100,46.19,62.01,4.7
185,mount isa,0,20,-20.73,68.0,8.05
186,tomakivka,0,49,47.81,71.6,8.95
187,beloha,61,54,-25.17,71.78,9.44
188,flinders,0,44,-34.58,57.2,21.92
189,niquelandia,0,57,-14.47,59.0,3.18
190,talnakh,20,47,69.49,59.0,11.18
191,turukhansk,25,40,65.8,66.2,11.3
192,hamilton,75,88,43.26,75.99,5.82
193,upernavik,97,77,72.79,41.9,3.47
194,manali,100,75,32.25,51.26,5.19
195,nanortalik,0,89,60.14,39.74,3.76
196,takoradi,55,75,4.89,78.44,4.9
197,mumbwa,0,30,-14.99,73.76,9.53
198,meulaboh,98,64,4.14,85.46,5.3
199,puri,11,50,-7.54,84.92,10.16
200,lasa,20,70,34.92,87.8,16.11
201,tabuk,98,96,17.41,71.06,2.24
202,isangel,75,78,-19.55,75.2,5.82
203,palmer,75,82,-34.85,57.2,13.87
204,touba,34,65,14.86,78.08,13.91
205,saldanha,0,32,41.42,81.5,1.7
206,qaqortoq,90,87,60.72,42.8,4.7
207,sinnamary,98,83,5.38,77.72,11.48
208,awbari,0,9,26.59,99.5,15.41
209,worland,1,63,44.02,66.99,2.66
210,komsomolskiy,56,74,67.55,67.1,16.4
211,port keats,37,41,-14.25,78.26,10.27
212,tuktoyaktuk,100,90,69.44,36.32,16.31
213,nikolskoye,90,54,59.7,55.0,6.71
214,cherskiy,100,40,68.75,75.92,3.78
215,surgut,0,57,61.25,77.0,13.42
216,bilibino,96,56,68.06,70.34,0.13
217,porto walter,0,87,-8.27,69.08,0.96
218,codrington,0,66,-28.95,62.01,8.05
219,constitucion,100,71,23.99,58.1,10.71
220,east london,0,53,-33.02,71.6,3.36
221,ust-kut,27,30,56.78,86.9,5.59
222,arteaga,5,45,25.45,78.01,3.51
223,sennoy,79,55,52.16,69.08,13.78
224,sirsilla,100,67,18.39,84.2,17.25
225,snezhnogorsk,75,65,69.19,44.6,11.18
226,kenai,90,87,60.55,55.99,8.05
227,namatanai,100,78,-3.66,79.16,21.14
228,hasaki,90,82,35.73,68.0,4.7
229,kudahuvadhoo,100,68,2.67,84.38,6.02
230,puerto ayora,0,85,-0.74,68.54,7.74
231,upington,0,19,-28.46,69.8,12.75
232,beder,20,46,45.81,73.0,5.82
233,pisco,90,82,-13.71,57.2,1.12
234,kavieng,100,72,-2.57,83.12,11.61
235,belmonte,0,31,40.36,89.01,4.59
236,norman wells,90,100,65.28,57.2,6.93
237,ligayan,92,68,4.65,83.84,6.46
238,hambantota,75,67,6.12,93.2,11.41
239,karolinka,40,42,49.35,72.0,11.41
240,casper,1,87,42.87,57.99,4.7
241,port bannatyne,75,82,55.86,68.0,2.24
242,kavaratti,84,79,10.57,84.2,15.12
243,mantua,20,53,45.16,79.0,5.82
244,champerico,75,91,16.38,67.46,3.85
245,sucua,43,92,-2.46,41.18,4.97
246,coquimbo,90,100,-29.95,46.4,3.36
247,bhadrachalam,100,64,17.67,87.8,8.81
248,sangar,0,41,63.92,80.6,13.58
249,chadiza,17,40,-14.06,70.88,10.65
250,senneterre,75,77,48.39,66.2,10.29
251,tessalit,3,18,20.2,98.78,12.64
252,huilong,100,88,31.15,74.84,3.42
253,chirongui,0,69,-12.93,82.4,17.22
254,juneau,20,82,58.3,59.0,3.36
255,tuatapere,0,95,-46.13,43.0,3.0
256,borovichi,100,62,58.39,51.98,7.0
257,pochutla,100,83,15.74,73.99,4.18
258,gamba,85,41,28.28,57.56,14.9
259,eureka,90,100,40.8,62.01,2.04
260,kysyl-syr,16,39,63.9,83.66,4.47
261,dordrecht,90,53,51.8,75.99,8.05
262,mercedes,100,96,-33.25,52.0,4.0
263,alofi,30,100,-19.06,75.2,11.41
264,bambanglipuro,14,80,-7.95,76.82,19.48
265,namie,75,88,37.52,69.01,11.41
266,warrnambool,72,70,-38.38,52.0,5.99
267,saravan,0,19,39.72,95.0,6.93
268,akom,100,94,2.67,71.78,3.38
269,cabo san lucas,0,77,22.89,78.01,4.0
270,caramutan,40,83,15.45,77.0,17.22
271,mareeba,40,83,-16.99,71.6,10.29
272,placerville,1,60,38.73,68.0,5.82
273,lorengau,100,92,-2.02,75.2,7.56
274,cukai,75,79,4.25,89.6,9.17
275,misratah,0,79,32.38,80.6,7.54
276,port lincoln,100,77,-34.72,58.1,31.07
277,kondinskoye,100,89,59.65,64.58,18.03
278,rio claro,1,100,-22.41,37.4,0.89
279,roanoke rapids,75,100,36.46,75.0,3.85
280,guerrero negro,0,82,27.97,66.74,19.08
281,ust-tsilma,100,93,65.44,51.62,7.45
282,rockport,1,88,28.02,82.4,5.82
283,maputo,20,78,-25.97,71.6,8.05
284,goderich,74,73,43.74,72.0,7.92
285,tura,25,49,64.27,70.52,16.67
286,lewistown,1,88,40.39,70.0,6.93
287,ponta delgada,40,78,37.73,71.6,5.82
288,umm kaddadah,100,52,13.6,84.92,14.25
289,carthage,1,94,32.16,75.2,4.97
290,mutata,94,97,7.24,69.08,0.47
291,berlevag,0,76,70.86,57.2,16.11
292,umm lajj,0,72,25.02,84.56,9.08
293,luderitz,0,93,-26.65,53.6,5.82
294,azul,100,89,-36.78,43.0,1.52
295,channel-port aux basques,5,89,47.57,50.9,29.44
296,araouane,0,34,18.9,92.84,9.71
297,porto novo,16,62,-23.68,68.72,5.3
298,carauari,18,99,-4.88,69.44,0.72
299,salistea de sus,40,49,47.65,68.0,8.05
300,ahome,8,81,25.92,79.0,5.97
301,antofagasta,90,76,-23.65,55.4,3.36
302,severo-kurilsk,100,97,50.68,43.16,17.11
303,makakilo city,20,69,21.35,80.6,8.05
304,lucapa,0,17,-8.42,85.82,10.18
305,verkhnetulomskiy,75,65,68.61,44.6,11.18
306,lisakovsk,100,46,52.55,81.32,2.68
307,nelson bay,0,49,-32.72,62.01,21.92
308,caravelas,95,82,-17.73,70.52,7.05
309,bilma,71,7,18.69,99.14,10.27
310,kamyshin,100,51,50.08,72.14,8.05
311,brownsville,90,88,25.91,80.6,3.36
312,barmer,6,31,25.74,102.74,27.25
313,tiksi,26,55,71.64,54.14,3.87
314,mangrol,7,39,25.33,99.14,15.48
315,taoudenni,66,22,22.68,101.12,12.57
316,maracaju,0,57,-21.61,57.74,5.41
317,barranca,61,86,-10.75,62.24,12.33
318,el bordo,84,74,2.11,61.34,2.46
319,moindou,0,82,-21.69,66.2,10.18
320,hastings,68,92,-39.64,43.34,2.59
